Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
pos2pos_sim: 0.9118, pos2neg_sim: 0.0299
pos2pos_sim: 0.9048, pos2neg_sim: 0.0207
pos2pos_sim: 0.9033, pos2neg_sim: 0.0200
pos2pos_sim: 0.9035, pos2neg_sim: 0.0179
pos2pos_sim: 0.8891, pos2neg_sim: 0.0344
pos2pos_sim: 0.9003, pos2neg_sim: 0.0275
pos2pos_sim: 0.8955, pos2neg_sim: 0.0146
pos2pos_sim: 0.8940, pos2neg_sim: 0.0085
pos2pos_sim: 0.8991, pos2neg_sim: 0.0198
pos2pos_sim: 0.9078, pos2neg_sim: 0.0183
pos2pos_sim: 0.9110, pos2neg_sim: 0.0239
pos2pos_sim: 0.9029, pos2neg_sim: 0.0229
pos2pos_sim: 0.8973, pos2neg_sim: 0.0165
pos2pos_sim: 0.9050, pos2neg_sim: 0.0073
pos2pos_sim: 0.9028, pos2neg_sim: 0.0208
pos2pos_sim: 0.9133, pos2neg_sim: 0.0175
pos2pos_sim: 0.9098, pos2neg_sim: 0.0277
pos2pos_sim: 0.9181, pos2neg_sim: 0.0118
pos2pos_sim: 0.9063, pos2neg_sim: 0.0229
pos2pos_sim: 0.9018, pos2neg_sim: 0.0271
pos2pos_sim: 0.9055, pos2neg_sim: 0.0197
pos2pos_sim: 0.9004, pos2neg_sim: 0.0201
pos2pos_sim: 0.8995, pos2neg_sim: 0.0169
pos2pos_sim: 0.9026, pos2neg_sim: 0.0096
pos2pos_sim: 0.8975, pos2neg_sim: 0.0283
pos2pos_sim: 0.9111, pos2neg_sim: 0.0189
pos2pos_sim: 0.8836, pos2neg_sim: 0.0213
pos2pos_sim: 0.8931, pos2neg_sim: 0.0187
pos2pos_sim: 0.8959, pos2neg_sim: 0.0142
pos2pos_sim: 0.8907, pos2neg_sim: 0.0209
pos2pos_sim: 0.9069, pos2neg_sim: 0.0220
pos2pos_sim: 0.9043, pos2neg_sim: 0.0095
pos2pos_sim: 0.9000, pos2neg_sim: 0.0193
pos2pos_sim: 0.8967, pos2neg_sim: 0.0181
pos2pos_sim: 0.8984, pos2neg_sim: 0.0266
pos2pos_sim: 0.9221, pos2neg_sim: 0.0109
pos2pos_sim: 0.9026, pos2neg_sim: 0.0151
pos2pos_sim: 0.9193, pos2neg_sim: 0.0258
pos2pos_sim: 0.9061, pos2neg_sim: 0.0180
pos2pos_sim: 0.9064, pos2neg_sim: 0.0149
pos2pos_sim: 0.8950, pos2neg_sim: 0.0189
pos2pos_sim: 0.9071, pos2neg_sim: 0.0140
pos2pos_sim: 0.9080, pos2neg_sim: 0.0179
pos2pos_sim: 0.9148, pos2neg_sim: 0.0161
pos2pos_sim: 0.9064, pos2neg_sim: 0.0122
pos2pos_sim: 0.8991, pos2neg_sim: 0.0211
pos2pos_sim: 0.8968, pos2neg_sim: 0.0180
pos2pos_sim: 0.8962, pos2neg_sim: 0.0101
pos2pos_sim: 0.9138, pos2neg_sim: 0.0241
pos2pos_sim: 0.9006, pos2neg_sim: 0.0246
pos2pos_sim: 0.8958, pos2neg_sim: 0.0067
pos2pos_sim: 0.8952, pos2neg_sim: 0.0156
pos2pos_sim: 0.9190, pos2neg_sim: 0.0281
pos2pos_sim: 0.9039, pos2neg_sim: 0.0336
pos2pos_sim: 0.9039, pos2neg_sim: 0.0238
pos2pos_sim: 0.8887, pos2neg_sim: 0.0169
pos2pos_sim: 0.8821, pos2neg_sim: 0.0124
pos2pos_sim: 0.8944, pos2neg_sim: 0.0133
pos2pos_sim: 0.9057, pos2neg_sim: 0.0322
pos2pos_sim: 0.9136, pos2neg_sim: 0.0451
pos2pos_sim: 0.9158, pos2neg_sim: 0.0215
